GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,55,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,85,7,0,0,22,2,3,2,3,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,38,38,4,4,8,11,3,5,0,4
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl.UserDetailsImplBuilder,14,49,0,0,0,1,1,8,1,8
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,0,39,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,3,75,1,5,1,18,2,15,1,13
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,4,67,0,6,2,18,0,6,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,25,120,0,4,6,30,1,10,1,8
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,43,0,2,0,12,0,4,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,111,1,3,0,31,1,4,0,3
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,19,0,0,0,6,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.services,SessionService,0,154,1,11,0,30,1,16,0,11
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,18,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,5,3,0,0,2,1,1,1,1,1
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
